63538321-2862-u	these aren't used
58393977-2713-nu	This should probably be done in app/domain/repcore/sources.py in `get_all_sources_as_dict` I believe you can strip it out in that function just like it strips out the listing distribution sources
58396549-2713-nu	Please don't blindly make that change. That function is used to do stuff with reviews. And we still want Location Page Reviews. 
58399002-2713-nu	ok, sounds good to me
57921984-2708-u	Was this also a problem if the account was expired? Does this check still return an account after it's expired?
57234224-2702-nu	That's pretty slick.
57204458-2698-nu	Why is all of this in the PR? Was this intentional?
57185938-2697-u	`is_popup = self.request.cookies.get('isPopup') == 'true'`
57030926-2695-nu	I thought this was being used, that's why I left it
56997764-2694-nu	this is a weird change, what happened here?
56997980-2694-nu	NM figured it out
57007258-2692-u	You should never use `{}` (or any other mutable) as the default value for a keyword argument. You should read this: https://pythonconquerstheuniverse.wordpress.com/category/python-gotchas/
57007526-2692-u	It's probably not a huge deal for test code, but I'd rather not see it in the codebase at all
56991890-2688-u	I would like to see this try-except block refactored into a function, which should return a `RequestStatus` object. Something like `def perform_update` should get the job done. After that, this block will look like:  ``` if not keyword:     status = RequestStatus(identifier=None, operation=statusOperation, successful=False, data={}, message=CREATE_ERROR_EMPTY_KEYWORD) else:     status = perform_update(..) . . if status.successful: ```
56995631-2688-u	The purpose of which is to reduce heavy nesting and improve readability.
57009303-2688-u	Just use `keywords` here, no need to get fancy :)
57009610-2688-u	I'd really like to encourage you to use the `success` attribute of the RequestStatus object. It makes sense to have a flag for the operation, but in this case, the outcome of the operation essentially already is a flag.
57009683-2688-u	Docstring for this guy
57386542-2688-u	move this down to the `else` block
57386583-2688-u	`if not keywords`
57387823-2688-nu	Any reason why you're popping all over the place?
56527482-2674-nu	It might be nice to link to the source here: `<a href="{source_url}">{source_name}</a>` Here and above for the "Accurate listing" message too. I assume you have access to that information in the API call to repcore.
56527669-2674-nu	Nice refactors!
56528158-2674-u	Swallowing exceptions makes me sad. I always prefer to at least add a `logging.warning` message. And it is often a good idea to include the stack trace with `exc_info=True`.
56528543-2674-nu	It seems a little odd to use the `handle-pubsub` queue here considering this is coming from a  direct API call, not pubsub. But I also understand why you did it this way; the other notification activity probably already use this queue. :disappointed: 
56529195-2674-u	I think it is a bad idea to mock private functions of a class; it makes it much harder to refactor.  I think it would be better to change this to mock out the entire call to: `app.domain.repcore.sources.get_source_by_id()` and then the dependency of this class would be mush clearer in the tests.  Currently I could change your `_get_source_name()` function to return hardcoded `Yelp` and all your tests would still pass. I am not suggesting testing the private function, I would like to see the fact that the private function exists be hidden from the tests. This will enable much easier refactor of code in the future.
56530985-2674-u	This will get run every time the file is imported, but only needs to run once per instance.
56531176-2674-nu	:thumbsup: Glad we'll have more consistency between the different activities.
56532002-2674-nu	Since we can already click on the icon and we have a 'view' link that the user can click I'm not sure if we'd want a third spot for them to click.  I wonder if having three places to click or taking away one of the other places would be better UX. 
56532868-2674-u	We just need to make sure that this algorithm is registered.  If it is already registered than this will throw an exception.  Is it really valuable log a warning in this case?
56533194-2674-nu	Good points. We can think about this for a future iteration.
56533324-2674-u	I think there should be a space between `partner_mock.return_value = secure_partner` and `link = activity.build_partner_link('ABC', '/visibility/')` and another space between `link = activity.build_partner_link('ABC', '/visibility/')` and `self.assertEqual('https://abc.steprep.com/visibility/', link)`.  It makes looking at the three parts of the test much easier.  Same goes with the other tests. 
56533502-2674-u	Catching `ValueError` seemed too generic to swallow and assume it is ALWAYS caused by it already being registered. What if the lib is missing, does it also raise a `ValueError`?  But if we only want it run once per instance, it belongs in a warmup handler, not a normal code file.
56397622-2672-u	Can we remove the extra newline above match = false?
56398245-2672-u	Can we change the field in this comprehension into is_match instead?  Also, can we change match to is_match? Just for clarity. 
56398758-2672-nu	why is {'None': True} necessary? Seems a bit odd to me. 
56399436-2672-nu	Fair enough
56349536-2671-u	Super minor.  But I'd prefer this condition be ``` == "LOCAL ``` so it's easier to immediately understand without having to double check the ``` != ```
56249980-2668-u	you could probably use the same pattern (previous_stat) here, right?
56086590-2666-u	is all of this unit tested? it would be nice to see all the cases in plain unit tests if they dont exist, and a new case for pdqs.mobi
56087206-2666-u	also, if prod has to use pdqs.mobi but we cant do that for the other envs, does it even matter what we do on other envs, can we just use microsite-env.appspot.com?   i say that because this url mutilation we do on other products on our own platform haunts me at night
56161440-2665-nu	dang, I thought this was fartbasic.css
56039779-2664-u	you should be able to accomplish this with the _get_exclusive_properties method in vapi? or is that not returning the right error message? 
56040065-2664-u	again, maybe get_exclusive_proprties can do this for you. Also the docstring for this process method may or may not be accurate. Kind of looks like not accurate at all lol
56045873-2664-u	Yeah! Let's use that thing!  So, `_get_exclusive_properties` only works if you're using the vapi Properties. If you're defining lists of args like you are in this handler, you can do the following: ``` REQUIRED_ARGS = [   ...   (API_KEY.ACCOUNT_SRID, API_KEY.CUSTOMER_IDENTIFIER)   ... ] ```  This will require one of the two arguments
56191426-2663-u	instead of setting ```current_stat``` you can enumerate ```stats``` in your loop.  EX. ``` for index, stat in enumerate(stats):   if not (stat and stat.value == 0) or index == 0:     continue      stat.value = data[index - 1] if data[index - 1] else 0   data.append([stat.datetime_stamp.strftime(formatting), stat.value]) ```
55608340-2661-nu	just curious, is there a reason not to use `if include_only_sources and source_id not in include_only_sources`
55680730-2661-nu	Not sure I follow... `[]` would also be falsy.
55052317-2649-nu	Aw man, I remember when I wrote the code this way, originally.  Good times.
55052488-2649-u	It might be a bit late for this but I find ``` getGenerateReviewWidget ``` to be really confusing to read.  Could it be changed to ``` getWidgetForGenerateReviews ```?
55209092-2648-u	All of these methods take a comment as the param.  Why not make a ReviewCommentActivity domain object that gets instantiated with a comment  ```python class ReviewCommentActivity(object):     def __init__(comment)     def is_valid(self)     @property     def link(self)     @property     def title(self)     def to_dict(self) ```
55209278-2648-u	The same could probably be done for ReviewActivity as well
55210009-2648-u	If you were to create the ReviewCommentActivity object you could encapsulate this logic into it. So all this would need to do is  ```python review_comment_activity = ReviewCommentActivity(activity) review_comment_activity.send() ``` Then the send method can decide whether or not to send the activity.
55210166-2648-u	Pylint doesn't run for this file (for long lines anyway) and it's a lot more readable if these are all on one line.
54895331-2642-nu	I wonder if there is some way for us to track who is using the iFrame..  If usage drops to 0 for a good period of time, we might be able to remove it.
54895518-2642-nu	If I'm not mistaken, this is for the write a review which will still be displayed in an iframe.
54906782-2642-u	Are these colours supposed to be hardcoded?
54895331-2642-nu	I wonder if there is some way for us to track who is using the iFrame..  If usage drops to 0 for a good period of time, we might be able to remove it.
54907585-2642-nu	`text/javascript` is deprecated. You should use `application/javascript` for jsonp and `application/json` for normal JSON requests.
54193796-2638-nu	Should try to get in the habit of ordering/grouping your imports according to our "standard"... it goes like this: python imports appengine imports library imports app imports  And then ordered alphabetically within each group (less important). So in this case, it should be: ``` from google.appengine.ext.deferred import deferred  from vpubsub import VMessageHandler, ReviewMessage  from app.domain.dev_central import send_activity from app.models.partner import PartnerModel import settings ```
53806119-2628-nu	This should get reset if ``` submitListing() ``` fails.  
53318133-2619-u	Shouldn't this be a FilterBuilder?
53319669-2619-u	Same as above. FilterBuilder.
53171002-2611-nu	I've been thinking about this for a little while. I think it's probably possible to write a regex string that allows you to use re.sub to strip out `.` characters when they're not surrounded by numbers.  I think something like this would work: `re.sub(r'([^0-9])\.([^0-9])', r'\1\2')`  This basically reads 'any non-numeric character followed by a decimal followed by a non-numeric character`. The replacement string places the first and third capture groups i.e. the character before and after the decimal.
53171516-2611-nu	If this change merges to prod, are there any cases where the old `getCanonical` method is still used? If there aren't, I think it makes more sense to simply put your changes in the existing method.
52520888-2606-nu	might want a case for ``` sent === open ```
52511163-2605-nu	in case you guys didn't know ``` results.aggregations.range('created').buckets[0].doc_count ``` or  ``` results.aggregations.range(ReviewDocument.created).buckets[0].doc_count ``` 
52517124-2604-nu	I agree. Clearly this should be written as: ``` CS_VIS_SOURCE.GOOGLE_PLUS:     tuple(None for _ in xrange(4)) ```
52519453-2604-nu	Clearly this is better: ``` tuple([None]*4) ``` 
52520527-2604-nu	``` tuple(map(lambda x: None, [None for _ in xrange(4)])) ```
52234148-2601-nu	Is it possible to build one massive query that ElasticSearch can parallelize as much as possible on it's end?
52238844-2601-nu	would prefer you unpack the tuple properly instead of indexing into it, helps readability ``` total_sent, recent_sent = self._get_email_events('sent') email_stats['sent'] = {'all_time': total_sent, 'recent': recent_sent} ```
52242665-2601-nu	name this better or make ``` get_stats ``` accept account group id and make it a module level function in its own module. this isn't a good use of a class imo
52190511-2598-nu	There's a `updateUnique` on the Account model that would probably do this for you.  Not 100% sure that it works correctly though
52191004-2598-u	if you rollback the `elasticsearch` lib you should rollback the `elasticsearch_dsl as well`
52191485-2598-nu	wow, `bad-whitespace,trailing-whitespace,' 'missing-final-newline,cyclic-import'` should probably not be ignored, but don't remove them for this PR
51908333-2590-u	I wonder if we should put a javascript ``` try catch ``` in here.   Having the entire page fail to load because we couldn't bind our tooltips seems like a bigger problem than edge support.  We might even be able to toss the check for ``` data.is_microsoft_edge ``` if we did that. It's generally a bad smell to have browser-specific functionality.
51377151-2583-u	i think ``` expired_datetime ``` is a little clearer. first time reading this i thought this was supposed to be the datetime that the account expired at, so i was confused by the +1
51422039-2583-nu	I don't think this is necessary, isn't this method only called by the above `update` method which is already doing this check?
51267738-2571-nu	I would prefer this file to be called `__init__test.py` just so that the file name matches where the prod code lives. Otherwise someone looking for the tests may not find these.
51142876-2569-u	Do you need a binding for `form-success-icon`? Can you just add it to the `class` attr?
51143002-2569-u	Minor, but I would argue `wrapper` would be a more natural naming convention than `area`.
51143521-2569-nu	Is that `24px` = `$MEDIUM_FONT_SIZE/2` or something? Might help to be a bit more self-documenting if it is That would be one pro of centering this icon and overlaying the text absolutely -- more agnostic to the dimensions of the container and components
51204067-2568-u	`if 'page_title' not in context:` if you are just checking if the key exists.  I don't think anyone would set a blank `page_title`, and if they did, it was probably for a reason that's getting overwritten here.
50474793-2558-u	This check should go into the `_can_send_review_share_email` as well  it doesn't really matter if we do an extra get on `ReviewGenerationConfigurationModel` when we aren't going to send the email anyway
50477972-2558-nu	It might be better to make a  `get_follow_up_swu_email_data` and `get_request_review_swu` email data that take their specific params then both call `get_common_swu_email_data` and return the common stuff with their custom stuff appended.  It think having those three functions would be beneficial even if the `get_request_review_swu` function just calls `get_common_swu_email_data` and returns it's result as that leaves the pattern intact for the next people to add a new email type
50478052-2558-nu	good catch here, we shouldn't have called it `requestReviewSubject`
50478611-2558-nu	I would suggest the better way to do this would be to add the option to the `FileField` in `vForm` of `file_can_be_deleted` that defaults to `True` and then update the `forms.js` to not show the delete icon if that's false, then set it in the form handler for this form to `False`.  I think that's the better approach, but it's not a trivial amount of work so it's up to you if you think it fits within this story
50479575-2558-nu	I think this transaction should have gone into the model ```python @classmethod @ndb.transactional def remove_logo_image(cls, account_group_id, template_type):     """     Does not actually delete the file from cloud storage, only removes the reference to it     """     email_template = EmailTemplateSettings.get_or_create(account_group_id, template_type)     email_template.logo_image = None     email_template.put()     return email_template ``` This is for 2 reasons 1. we shouldn't have put the transaction in the view 2. handle_filedelete can be moved into the abstract form
50479701-2558-nu	These child classes don't need to inherit from `vfom.ImageUploadHadler` if `AbstractEmailTemplateSettingsVForm` does
50480114-2558-nu	I think a lot (if not all) of this get_formdata is the exact same between the 3 child classes. If a super function of `create_common_formdata` takes in a email template, then this can become ```python def get_formdata(self):     email_template = EmailTemplateSettings.get_or_create(self.account.agid, FOLLOW_UP_EMAIL_TEMPLATE_TYPE)     form_data = self.create_common_formdata(email_template)     return form_data ``` I don't think `create_common_formdata` is the greatest of names, but the name should imply that `vform.FormData(form_definition=self._get_all_fields())` will be called within it and it will return a new set of formdata    Alternatively you could pass both the formdata and the email_template to the common function and name it w/e you think is appropriate
50707049-2558-nu	Should we move these to the `config_address-book-(local|test|demo|prod).py` files? more cruft in the settings file but it cleans this up.
49927773-2553-u	infinite recursion!!!  should be `cls.get_by_account_group_id_async`
49757490-2547-nu	idk what this `get_enabled_listing_sources` does exactly, but does it matter if it the next thing we are doing in this function filters out all the ids that don't have listings?
49763809-2547-nu	There are two reasons to filter out sources. 1) The source has no listings 2) The source has been disabled at the partner level  If the ReviewGenerationConfigurationModel has been created for this account, we just grab the selected listings from that model.  A pubsub sent out when the partner's enabled sources were customized removes any partner-disabled sources from this config model right away.  If one hasn't been created (no customizations have yet been made by the user) a default ReviewGenerationConfigurationModel is created, but we also grab the enabled listing sources from the partner (through core) so that we don't select a source that has been disabled at the partner level.
49786894-2547-nu	Nope.  We still need to get the intersection between the default sources and the given ``` review_sources ```  For example, Facebook is a default source but it can be turned off at the partner level.
49371976-2538-nu	This should be get_button_url but we are changing that to be  ```python customized_button_url = StringProperty()  @property def button_url():     return self.customized_button_url or self.get_location_page_url ``` So I guess this should stay as it is 
49372878-2538-nu	jrol wrote the exact same thing here https://github.com/vendasta/SM/pull/1539/files#diff-762efa8432266db1882ad789334ac54cR265 is this from somewhere? could we just reference it? 
49463253-2537-u	The whole reason jasmine uses the ``` it ``` function is so you can write English sentences like: ``` it('should start as false', ... ``` .    Kind of sad to not take advantage that feature.
49464100-2537-nu	I'm sure ``` gross html ``` meant something to someone at some point but it means nothing to me and just adds uncertainty to this test.  I'd suggest ``` 'arbitrary string' ``` as it's self-describing.
49464255-2537-nu	`email-template email-template--selected` `email-template email-template--unselected`
49465425-2537-nu	Why use `cls_class_name()` instead of just `cls`?
49465524-2537-u	Why is `template_type` optional here?
49465756-2537-nu	Sometimes...  ``` >> 'foo' and True True >> True and 'foo' 'foo' ``` 
49128019-2534-nu	Capitalize the first word after the colon also ``` will be used ```  id just ask renee what the copy text she wants there is
49087450-2530-nu	You could probably add a test for this to ``` SREP.ReviewManage.spec.js ```
48999019-2524-nu	If the key exists though and the value is `None`, this will now return `None`.  You should probably change this to `entity.get(API_KEY.MENTION_MODIFIED_DATETIME) or entity[API_KEY.MENTION_CREATED_DATETIME])` if at all...
49000637-2524-nu	Wouldn't this have raised a KeyError in the first place? It seems weird to me that this worked as is... Am I missing something?
49001044-2524-nu	That is what Brad is assuming it has been doing.  I'm saying I think the api always returns the key, but may have the value as `None`. I'm not certain though.
48848887-2519-nu	why jinja? the ``` enable_generate_reviews ``` flag, fair enough thats already in the context, but there's ko used below to get the alternating row shading anyway.
48860954-2519-nu	We probably want this in the EmailTemplate model and options instead of types as  the types are currently like 'review_request' and 'follow_up' also `return [{'display_name':name, 'template_id': template_id} for name, template_id in EMAIL_TEMPLATE.iteritems()]`
48862012-2519-nu	This should be a `get` method in EmailTemplate that does this get or put for you
48863076-2519-nu	This should use that `get` function I previously mentioned
48863702-2519-nu	I think it would be beneficial to structure this into one dictionary ```python EMAIL_TEMPLATES = {     'review_request' : {         'display_name': "REview REQUesT",         'templates': [             {                 'id': 'template-01',                 'preview_image': 'http://i.ytimg.com/vi/oHg5SJYRHA0/hqdefault.jpg'             }         ] } } ```
49025199-2519-nu	maybe raise an error if they use an invalid template type. at least when you look through this code later, the use of that ``` TEMPLATE_CONFIGURATION ``` constant here will clue you in as to where the implicit rules of this model really are
48563256-2511-u	``` viewedComments ``` sounds to me like a function (or knockout object) that returns a set of viewed comments.  I'd recommend naming it something like ``` markCommentsAsViewed() ```.
48564162-2511-u	check if self.newComment() (is truthy) before sending the ajax call. dont need to send if theres no new comments anyway
48567624-2511-u	I would pull these 2 tests out into a different describe block. if you are describing "markCommentsAsViewed", then all of your tests inside that block should call markCommentsAsViewed. If you are calling commentsToggleString, even to test that it calls markCommentsAsViewed, that test should happen inside a describe("commentsToggleString", function(){tests})
48445700-2496-u	are there things that care about ``` posts ``` being returned from this method? seems like the handler just ignores it. if this method only has to report errors then no use returning a tuple.
47844638-2487-nu	confused about why socialMarketingEnabled is observable (not that you did that). generally, if something can't change within the lifespan of a single page view, it doesnt need to be an observable. don't have enough context to know if enableSocial can change, but also seems unlikely.
47838870-2484-nu	Can this just be named `lookup_by_partner_id`?
47838981-2484-nu	`update-sales-person`?
47839267-2484-nu	Afaik it's always been `get` implies by key and `lookup` implies a query, usually returning a list of entities.
47828044-2482-nu	Isn't this supposed to be ``` display_location_page_badges ```?  If not, change the test title.
